id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,numero,complemento,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor,data_venda,data_compra,status_venda,observacoes,erros
1121,Kamilly Pacheco,01/02/2007,813270649,79320584656,Distrito Noah Goncalves,484,6,Madre Gertrudes,Sao Paulo,SP,50278700,8179907788,P008,Mouse com fio,1,45.0,Dinheiro,L002,Loja Shopping,V004,Antonio Souza,24/03/2025,24/03/2025,CONCLUIDA,,
2770,Fernando da Conceicao,29/06/1967,208745166,26538094783,Morro Joao Miguel Lopes,68,34,Marieta 1a Secao,Sao Paulo,SP,84732530,1198566063,P003,Fone Bluetooth,8,300.0,Boleto,L002,Loja Shopping,V003,Joao Souza,15/08/2025,15/08/2025,CONCLUIDA,,
9125,Gabrielly Albuquerque,28/02/1950,710583266,20345968700,Fazenda Fonseca,913,437,Sao Luiz,Sao Paulo,SP,51884350,1157427402,P002,Smartphone,3,2500.0,PIX,L001,Loja Centro,V002,Maria Oliveira,30/05/2025,30/05/2025,CONCLUIDA,,
6640,Brenda da Rosa,29/04/2002,158264034,17236490822,Viaduto de Teixeira,642,591,Pantanal,Sao Paulo,SP,36340514,8176423630,P004,Monitor,9,1200.0,PIX,L001,Loja Centro,V002,Maria Oliveira,28/09/2025,28/09/2025,CONCLUIDA,,
4116,Carlos Eduardo Souza,12/06/1998,245081379,90354627180,Ladeira de Duarte,3,25,Sao Jorge 1a Secao,Sao Paulo,SP,34102204,5131210317,P004,Monitor,8,1200.0,Cartão de Débito,L003,Loja Bairro,V005,Barone Mendes,28/07/2025,28/07/2025,CONCLUIDA,,
7736,Lunna Rezende,16/05/1963,285670438,79853124637,Travessa Casa Grande,42,21,Vera Cruz,Sao Paulo,SP,49491381,4168430088,P004,Monitor,10,1200.0,PIX,L002,Loja Shopping,V004,Antonio Souza,24/02/2025,24/02/2025,CONCLUIDA,,
1094,Andre Castro,21/05/1948,120748356,47301925832,Parque de Ribeiro,29,7,Casa Branca,Sao Paulo,SP,11744177,2103371899,P004,Monitor,1,1200.0,Cartão de Crédito,L002,Loja Shopping,V004,Antonio Souza,26/04/2025,26/04/2025,CONCLUIDA,,
8335,Esther Ramos,16/12/1985,83702514X,58714293005,Rua da Paz,59,824,Jardim Felicidade,Sao Paulo,SP,7291725,8120111591,P007,Caixa de Som,3,190.0,Boleto,L002,Loja Shopping,V003,Joao Souza,16/01/2025,16/01/2025,CONCLUIDA,,
3360,Calebe Cavalcanti,27/10/1975,381076258,62980475149,Colonia de Siqueira,46,28,Mirante,Sao Paulo,SP,85146963,2153287649,P004,Monitor,8,1200.0,Cartão de Crédito,L003,Loja Bairro,V006,Thiago Curse,17/02/2025,17/02/2025,CONCLUIDA,,
6472,Bella Vasconcelos,11/04/1948,632401874,05213847960,Travessa de Azevedo,79,858,Floresta,Sao Paulo,SP,97114482,8403769248,P009,Mouse Bluetooth,4,80.0,Dinheiro,L003,Loja Bairro,V006,Thiago Curse,12/11/2024,12/11/2024,CONCLUIDA,,
2506,Guilherme Pacheco,29/04/1997,305241862,59720843683,Nucleo Anthony da Paz,2,85,Vila Jardim Sao Jose,Sao Paulo,SP,42149966,2131541060,P004,Monitor,3,1200.0,Boleto,L001,Loja Centro,V002,Maria Oliveira,27/06/2025,27/06/2025,CONCLUIDA,,
1922,Vitoria Cirino,13/08/1966,738052462,07195638448,Recanto Vasconcelos,3,50,Prado,Sao Paulo,SP,99247065,1162429847,P007,Caixa de Som,7,190.0,PIX,L003,Loja Bairro,V006,Thiago Curse,21/06/2025,21/06/2025,CONCLUIDA,,
3627,Davi Lucas Abreu,28/05/1945,865703413,75648031939,Estacao Macedo,88,8,Vila Nova Cachoeirinha 1a Secao,Sao Paulo,SP,74033711,8400672114,P005,Teclado Mecanico,7,450.0,Cartão de Crédito,L001,Loja Centro,V002,Maria Oliveira,14/08/2025,14/08/2025,CONCLUIDA,,
8830,Clara da Mata,06/06/1967,865134273,08152673471,Parque Souza,55,71,Nazare,Sao Paulo,SP,87223939,1122313281,P003,Fone Bluetooth,8,300.0,PIX,L003,Loja Bairro,V006,Thiago Curse,07/10/2025,07/10/2025,CONCLUIDA,,
3706,Ana Laura Barros,03/11/1993,367480529,80479215332,Favela Dias,45,137,Vila Real 2a Secao,Sao Paulo,SP,65854311,8141557057,P007,Caixa de Som,10,190.0,Dinheiro,L001,Loja Centro,V002,Maria Oliveira,17/08/2025,17/08/2025,CONCLUIDA,,
8529,Gael Henrique Vargas,16/07/2003,08315467X,49371820640,Largo de Macedo,804,2,Maria Helena,Sao Paulo,SP,56512348,3009788985,P008,Mouse com fio,8,45.0,Dinheiro,L001,Loja Centro,V002,Maria Oliveira,17/02/2025,17/02/2025,CONCLUIDA,,
4396,Nicolas Nascimento,02/05/1956,25710348X,79256431025,Area Alves,605,307,Vila Maloca,Sao Paulo,SP,61392864,8160639755,P009,Mouse Bluetooth,3,80.0,Cartão de Crédito,L003,Loja Bairro,V005,Barone Mendes,14/07/2025,14/07/2025,CONCLUIDA,,
1691,Theo da Cunha,09/02/1997,106258734,54012397699,Vila de Macedo,538,71,Vila Atila De Paiva,Sao Paulo,SP,75802434,4125786110,P001,Notebook,2,3500.0,Boleto,L001,Loja Centro,V001,Carlos Silva,09/08/2025,09/08/2025,CONCLUIDA,,
5708,Srta. Bianca Novais,25/10/1963,457831601,70218453914,Sitio da Rosa,946,434,Conego Pinheiro 2a Secao,Sao Paulo,SP,95053625,7110741523,P001,Notebook,10,3500.0,Cartão de Crédito,L002,Loja Shopping,V003,Joao Souza,14/09/2025,14/09/2025,CONCLUIDA,,
7425,Camila da Conceicao,18/08/1978,475182601,96573140893,Area Ryan Martins,9,766,Rio Branco,Sao Paulo,SP,12080460,6190618393,P009,Mouse Bluetooth,8,80.0,PIX,L002,Loja Shopping,V003,Joao Souza,04/07/2025,04/07/2025,CONCLUIDA,,
