id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor,data_compra,erros
1,Brenda Alves,31/12/1993,381504268,09176482340,"Vila de Nogueira, 83",Tupi A,Abreu da Serra,RR,54235-116,55415594078,1,Notebook,1,3500.0,Pix,L01,Loja A,V02,Fernanda,13/09/2025,
2,Anna Liz Novaes,28/03/1970,538061741,31629785482,"Ladeira de Sampaio, 3",São João Batista,Castro,PB,48350-305,7141395376,2,Smartphone,1,2200.0,Boleto,L01,Loja A,V04,Mariana,13/09/2025,
3,Natália Casa Grande,26/09/1968,345786105,28706519458,"Praça de Peixoto, 7",Mineirão,Moura de da Cunha,PI,18451462,05104828148,1,Notebook,1,3500.0,Cartão de Crédito,L01,Loja A,V02,Fernanda,13/09/2025,
4,Fernanda Cassiano,08/07/1974,204837613,43019752680,"Setor Vargas, 82",São Sebastião,da Luz,PE,38346-578,04113315098,5,Teclado,5,150.0,Cartão de Crédito,L03,Loja C,V02,Fernanda,13/09/2025,
5,Henry Abreu,18/06/1958,038625477,47391680575,"Estrada Gabriel Brito, 75",Nova Cachoeirinha,Siqueira de Aragão,RO,06513338,04126247317,5,Teclado,4,150.0,Cartão de Débito,L02,Loja B,V03,João,13/09/2025,
6,Beatriz Aragão,06/04/1989,807153424,36019758230,"Vila Mariah Cassiano, 44",Barreiro,Souza,MT,09788208,55212191361,1,Notebook,2,3500.0,Dinheiro,L02,Loja B,V03,João,13/09/2025,
7,Asafe Pinto,17/01/1959,852167349,24790536874,Favela de Montenegro,Heliopolis,Ferreira,AP,54278498,55021841241,2,Smartphone,2,2200.0,Pix,L01,Loja A,V01,Carlos,13/09/2025,
8,João Gabriel da Paz,03/10/1986,538627104,16408297331,"Praia de Novaes, 18",Camponesa 2ª Seção,Sales,BA,59826204,2105331586,4,Monitor,1,950.0,Pix,L02,Loja B,V03,João,13/09/2025,
9,Daniela da Costa,10/07/2000,260183477,42130675999,"Fazenda Pietro Alves, 66",Itatiaia,Vargas,GO,86850-142,08004019655,1,Notebook,4,3500.0,Boleto,L01,Loja A,V04,Mariana,13/09/2025,
10,Sophia Camargo,11/02/1975,340586278,56192483051,"Rodovia Ana Luiza Rios, 75",Vila Maloca,Novaes Grande,DF,62994-680,03143699577,1,Notebook,5,3500.0,Pix,L03,Loja C,V03,João,13/09/2025,
