"id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor",cpf,telefone,data_nascimento,data_compra,erros
"1,Brenda Alves,31/12/1993,381504268,091.764.823-40,""Vila de Nogueira, 83"",Tupi A,Abreu da Serra,RR,54235-116,+55 41 5594 0781,1,Notebook,1,3500.0,Pix,L01,Loja A,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"2,Anna Liz Novaes,28/03/1970,538061741,316.297.854-82,""Ladeira de Sampaio, 3"",São João Batista,Castro,PB,48350-305,71 4139 5376,2,Smartphone,1,2200.0,Boleto,L01,Loja A,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"3,Natália Casa Grande,26/09/1968,345786105,287.065.194-58,""Praça de Peixoto, 7"",Mineirão,Moura de da Cunha,PI,18451462,(051) 0482-8148,1,Notebook,1,3500.0,Cartão de Crédito,L01,Loja A,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"4,Fernanda Cassiano,08/07/1974,204837613,430.197.526-80,""Setor Vargas, 82"",São Sebastião,da Luz,PE,38346-578,(041) 1331-5098,5,Teclado,5,150.0,Cartão de Crédito,L03,Loja C,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"5,Henry Abreu,18/06/1958,038625477,473.916.805-75,""Estrada Gabriel Brito, 75"",Nova Cachoeirinha,Siqueira de Aragão,RO,06513338,(041) 2624-7317,5,Teclado,4,150.0,Cartão de Débito,L02,Loja B,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"6,Beatriz Aragão,06/04/1989,807153424,360.197.582-30,""Vila Mariah Cassiano, 44"",Barreiro,Souza,MT,09788208,+55 21 2191 3619,1,Notebook,2,3500.0,Dinheiro,L02,Loja B,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"7,Asafe Pinto,17/01/1959,852167349,247.905.368-74,Favela de Montenegro,Heliopolis,Ferreira,AP,54278498,+55 (021) 8412 4118,2,Smartphone,2,2200.0,Pix,L01,Loja A,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"8,João Gabriel da Paz,03/10/1986,538627104,164.082.973-31,""Praia de Novaes, 18"",Camponesa 2ª Seção,Sales,BA,59826204,21 0533 1586,4,Monitor,1,950.0,Pix,L02,Loja B,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"9,Daniela da Costa,10/07/2000,260183477,421.306.759-99,""Fazenda Pietro Alves, 66"",Itatiaia,Vargas,GO,86850-142,0800 401 9655,1,Notebook,4,3500.0,Boleto,L01,Loja A,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"10,Sophia Camargo,11/02/1975,340586278,561.924.830-51,""Rodovia Ana Luiza Rios, 75"",Vila Maloca,Novaes Grande,DF,62994-680,(031) 4369 9577,1,Notebook,5,3500.0,Pix,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"11,Hadassa Moraes,11/10/1979,218456037,438.105.679-57,""Vereda Mathias Silva, 77"",Garças,Rezende,RR,16328708,+55 51 1727 8895,5,Teclado,2,150.0,Cartão de Crédito,L01,Loja A,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
