id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,numero,complemento,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor,data_compra,erros
1,Brenda Alves,12/01/1994,4108603,32156408726,Chácara Cunha,18,,Serra Do Curral,Silva,RS,37940-265,55842351161,001,Notebook,1,3500.0,Pix,L01,Loja A,V02,Fernanda,25/09/2025,
10,Henry Gabriel Alves,17/09/1989,6685149,54162938709,Jardim Cavalcanti,240,,Universitário,Ferreira Alegre,PA,69340608,6135615951,004,Monitor,5,950.0,Cartão de Crédito,L02,Loja B,V01,Carlos,25/09/2025,
100,Maria Fernanda Moraes,12/04/1997,7475204,70451283988,"Setor de Abreu, 4",26,,Dom Silverio,Ramos de Minas,SC,07501102,55618193466,003,Tablet,5,1800.0,Pix,L03,Loja C,V01,Carlos,25/09/2025,
11,Thiago das Neves,28/01/1990,5472441,64213597873,"Aeroporto de da Rosa, 73",895,,Paquetá,Rocha de Cunha,PE,21489-513,04133200379,005,Teclado,3,150.0,Boleto,L02,Loja B,V05,Barone,25/09/2025,
12,Rafael Leão,11/09/2001,9658155,36791508493,"Vila Moreira, 90",81,,Chácara Leonina,Rios de Moura,PI,79868-727,04143487347,002,Smartphone,1,2200.0,Cartão de Crédito,L03,Loja C,V02,Fernanda,25/09/2025,
13,Isaac da Mata,13/07/1972,9062250,12893640524,"Setor Maria Flor Leão, 4",16,,Sagrada Família,Mendes do Sul,MS,66889-373,55816706562,003,Tablet,1,1800.0,Cartão de Débito,L01,Loja A,V04,Mariana,25/09/2025,
14,Yasmin Alves,19/10/2002,9930312,90153768240,"Largo Otávio Marques, 75",56,,Floresta,Melo,AC,53100330,09002327193,003,Tablet,4,1800.0,Pix,L01,Loja A,V03,João,25/09/2025,
15,Léo Cavalcante,04/11/1986,1921542,24180937514,Vila de Pires,51,,Renascença,Vieira,RJ,58651850,8471657262,003,Tablet,2,1800.0,Pix,L03,Loja C,V06,Thiago,25/09/2025,
16,Júlia Pimenta,26/07/1997,9029043,79685421030,"Ladeira Machado, 77",80,,Renascença,Cirino do Amparo,DF,45494-808,55071136783,001,Notebook,5,3500.0,Cartão de Débito,L03,Loja C,V06,Thiago,25/09/2025,
17,Caleb da Rocha,23/06/1966,4081983,45796238191,"Quadra de da Mata, 44",4,,Lagoa,Souza,PI,33749894,55413435240,002,Smartphone,2,2200.0,Dinheiro,L02,Loja B,V03,João,25/09/2025,
18,Benjamim Novaes,20/03/1970,2118618,71042368562,"Jardim Mendes, 2",27,,Teixeira Dias,Cassiano,BA,13186-999,55218677496,005,Teclado,2,150.0,Pix,L01,Loja A,V02,Fernanda,25/09/2025,
19,Carlos Eduardo Teixeira,29/09/1965,3540415,41286903769,"Vila Maria Isis da Rocha, 4",84,,Biquinhas,da Luz,SE,61832421,55081249947,001,Notebook,3,3500.0,Dinheiro,L02,Loja B,V01,Carlos,25/09/2025,
2,Julia Aparecida,29/05/1993,8996414,16942853089,"Área Ribeiro, 24",71,,Itatiaia,Porto de Fonseca,CE,53419-283,55031764835,002,Smartphone,1,2200.0,Boleto,L01,Loja A,V05,Barone,25/09/2025,
20,Sra. Júlia Montenegro,08/05/1983,7344375,10652478344,"Travessa de Pastor, 5",802,,São Cristóvão,da Mota de Cirino,RJ,71756-551,55031567468,002,Smartphone,5,2200.0,Pix,L01,Loja A,V06,Thiago,25/09/2025,
21,Lorenzo Camargo,24/02/2006,6780932,80739126431,"Avenida Nicolas da Mata, 824",11,,Vila Boa Vista,Santos,CE,80861-317,55712748467,004,Monitor,4,950.0,Dinheiro,L01,Loja A,V03,João,25/09/2025,
22,Clara Gomes,31/10/1964,8526867,21463970803,"Trecho Mariana Cassiano, 88",95,,Vila Santo Antônio,Marques Alegre,DF,96360576,5127028951,002,Smartphone,2,2200.0,Boleto,L03,Loja C,V03,João,25/09/2025,
23,Beatriz Moura,26/12/2002,257489,26903745106,"Loteamento Rocha, 865",209,,Flavio Marques Lisboa,da Conceição de Minas,PA,17240050,02155623869,005,Teclado,4,150.0,Boleto,L02,Loja B,V03,João,25/09/2025,
24,Enzo Gabriel Cavalcanti,01/12/1958,6418028,93741582646,"Viaduto Antony Martins, 38",8,,Mantiqueira,Porto das Pedras,RR,74367-136,05005944064,002,Smartphone,2,2200.0,Boleto,L02,Loja B,V01,Carlos,25/09/2025,
25,Ana Julia Pereira,24/03/1994,4801541,35981427060,"Vereda Ramos, 5",60,,Vila Ouro Minas,Borges,MA,62328-588,55812474517,001,Notebook,1,3500.0,Cartão de Débito,L03,Loja C,V02,Fernanda,25/09/2025,
26,Miguel Novais,12/02/1974,6619862,04132568717,Fazenda de Melo,9,,Leticia,Ramos,AP,46120-047,55611382675,004,Monitor,5,950.0,Cartão de Crédito,L02,Loja B,V04,Mariana,25/09/2025,
27,Dra. Daniela Leão,10/06/1989,8209880,96405213706,"Colônia Emilly Nogueira, 70",23,,Jardim América,Borges de Ribeiro,DF,05329318,55084933529,005,Teclado,4,150.0,Boleto,L02,Loja B,V05,Barone,25/09/2025,
28,Davi Lucca Nogueira,07/01/1968,2927575,10287956377,"Conjunto Sousa, 28",8,,Parque São Pedro,Moraes Verde,AM,83908-470,55081766177,001,Notebook,1,3500.0,Boleto,L02,Loja B,V06,Thiago,25/09/2025,
29,Benício Cardoso,22/04/1969,9820789,85647239137,Condomínio de Rezende,836,,Lourdes,Jesus,MT,66156-545,55021711116,003,Tablet,1,1800.0,Pix,L02,Loja B,V02,Fernanda,25/09/2025,
3,Dr. João Felipe Azevedo,30/11/1965,9515702,53789614084,"Sítio de Nascimento, 79",465,,Cinquentenário,Borges de Sá,AL,22691669,06184801845,004,Monitor,1,950.0,Cartão de Crédito,L01,Loja A,V02,Fernanda,25/09/2025,
30,Ana Liz Pastor,07/06/2005,9423483,51629308730,"Travessa Montenegro, 82",61,,Bandeirantes,Camargo Paulista,RJ,68998094,55041244550,004,Monitor,1,950.0,Pix,L03,Loja C,V02,Fernanda,25/09/2025,
31,Ana Lívia Casa Grande,01/01/1994,514340,18376520903,"Largo de Vasconcelos, 191",12,,Vila Independencia 2ª Seção,da Mata,PB,79764-381,08461497840,005,Teclado,1,150.0,Pix,L03,Loja C,V05,Barone,25/09/2025,
32,Ana Laura Abreu,26/07/1965,3543918,24890536124,"Parque Nascimento, 98",71,,Santa Efigênia,Lopes,AC,15969-664,55616052975,005,Teclado,2,150.0,Cartão de Débito,L02,Loja B,V02,Fernanda,25/09/2025,
33,Joaquim Lopes,10/12/1985,8790632,16452980351,"Condomínio de Moura, 635",23,,Cônego Pinheiro 1ª Seção,Costa da Serra,RN,12779979,09005527177,005,Teclado,5,150.0,Cartão de Crédito,L03,Loja C,V03,João,25/09/2025,
34,Benjamin Fogaça,15/08/1981,5207779,79082564300,"Rodovia de Gomes, 99",8,,Castelo,Duarte,RN,82071-518,55051037788,004,Monitor,1,950.0,Cartão de Crédito,L02,Loja B,V03,João,25/09/2025,
35,Mathias Jesus,12/10/1995,878547,51904328660,"Trecho Ribeiro, 55",22,,João Paulo Ii,Ramos Alegre,TO,81685054,55061357332,002,Smartphone,1,2200.0,Cartão de Débito,L03,Loja C,V01,Carlos,25/09/2025,
36,Thiago Vargas,04/05/1983,8833734,05243169706,"Área Juliana Fonseca, 57",93,,Frei Leopoldo,Viana do Amparo,TO,59774688,8423924075,001,Notebook,4,3500.0,Cartão de Crédito,L03,Loja C,V02,Fernanda,25/09/2025,
37,Valentim Campos,03/11/1969,2689594,47263015862,Avenida Isabela Montenegro,73,,Boa Vista,Câmara do Sul,MT,52204727,04190104328,002,Smartphone,4,2200.0,Boleto,L01,Loja A,V03,João,25/09/2025,
38,Vitória Lima,16/08/1960,4833542,34107986250,"Trevo Stella Almeida, 393",16,,Vila Aeroporto Jaraguá,da Costa Verde,PA,18518888,8106706540,005,Teclado,5,150.0,Dinheiro,L01,Loja A,V05,Barone,25/09/2025,
39,Luiz Felipe da Costa,30/07/1993,1739191,95207483692,"Quadra de Sampaio, 32",8,,Aparecida 7ª Seção,Costa do Norte,SE,05486874,55051345054,002,Smartphone,3,2200.0,Dinheiro,L03,Loja C,V06,Thiago,25/09/2025,
4,Eduarda Marques,26/11/1954,4418934,82165970377,"Setor Vasconcelos, 609",20,,Coração Eucarístico,das Neves de Goiás,AL,91171822,07182489638,002,Smartphone,5,2200.0,Boleto,L01,Loja A,V05,Barone,25/09/2025,
40,Maysa Gomes,13/09/1972,3134272,79564208149,Trevo Luiz Miguel Nogueira,25,,Boa Viagem,Ribeiro da Mata,MA,96275-705,08006401658,003,Tablet,4,1800.0,Boleto,L02,Loja B,V01,Carlos,25/09/2025,
41,Eduarda Alves,19/04/1962,7351320,02175846911,"Viela Machado, 85",3,,São Gonçalo,Gonçalves Alegre,RS,31027-868,55714473947,002,Smartphone,2,2200.0,Cartão de Crédito,L02,Loja B,V01,Carlos,25/09/2025,
42,Rael Cavalcanti,12/05/2002,7467726,15870429676,"Vila de Porto, 95",41,,Vila Tirol,da Costa,SE,05895-782,08001146786,005,Teclado,5,150.0,Cartão de Débito,L03,Loja C,V02,Fernanda,25/09/2025,
43,Ana Sophia Cardoso,08/04/2006,1244282,79514860357,"Condomínio Moreira, 34",45,,Marajó,Barros Paulista,DF,24981-829,08002299590,001,Notebook,1,3500.0,Cartão de Crédito,L01,Loja A,V01,Carlos,25/09/2025,
44,Bruno Aparecida,01/01/2005,9676615,43695082151,"Recanto Samuel Rodrigues, 84",1,,Conjunto Capitão Eduardo,Leão de Mendes,PB,59255562,3188153714,001,Notebook,3,3500.0,Cartão de Crédito,L03,Loja C,V02,Fernanda,25/09/2025,
45,Calebe Aragão,10/02/1970,6444964,96381240750,"Quadra de Monteiro, 17",7,,Santa Rita De Cássia,da Costa de Cunha,RJ,00479-748,55021162456,003,Tablet,4,1800.0,Cartão de Débito,L03,Loja C,V02,Fernanda,25/09/2025,
46,Evelyn Fonseca,20/01/1984,1233658,68794203547,"Loteamento Emanuelly Sá, 93",18,,Bacurau,Carvalho,RR,78729-825,08005269495,005,Teclado,5,150.0,Dinheiro,L01,Loja A,V04,Mariana,25/09/2025,
47,Yasmin Mendonça,17/04/1992,5029651,70529836130,"Vila de Pires, 8",49,,Vila Nova Gameleira 3ª Seção,Pacheco,PR,89623091,55071075626,004,Monitor,2,950.0,Cartão de Crédito,L01,Loja A,V06,Thiago,25/09/2025,
48,Olivia Sousa,14/04/1993,2316639,83579461001,"Loteamento de Nogueira, 84",53,,Saudade,Câmara da Mata,SP,37575-844,55719866524,004,Monitor,3,950.0,Dinheiro,L02,Loja B,V04,Mariana,25/09/2025,
49,Srta. Manuella Macedo,01/07/1989,8037616,39475210652,"Viaduto Moura, 13",7,,Lindéia,Brito de Rodrigues,SP,08267734,06140193802,001,Notebook,1,3500.0,Cartão de Crédito,L02,Loja B,V06,Thiago,25/09/2025,
5,Srta. Luana Guerra,23/06/2007,6264956,78901564300,"Fazenda de Pastor, 20",4,,Bernadete,Farias,AP,47382997,55517631165,002,Smartphone,5,2200.0,Dinheiro,L01,Loja A,V04,Mariana,25/09/2025,
