id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,numero,complemento,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor,data_venda,data_compra,status_venda,observacoes
1121,Kamilly Pacheco,01/02/2007,813270649,793.205.846-56,"Distrito Noah Gonçalves, 484",264,6,Madre Gertrudes,Sousa,RS,50278700,(081) 7990-7788,P008,Mouse com fio,1,45.0,Dinheiro,L002,Loja Shopping,V004,Antonio Souza,24/03/2025,24/03/2025,CONCLUIDA,
2770,Dr. Fernando da Conceição,29/06/1967,208745166,265.380.947-83,"Morro João Miguel Lopes, 68",707,34,Marieta 1ª Seção,Caldeira,SP,84732530,(011) 9856-6063,P003,Fone Bluetooth,8,300.0,Boleto,L002,Loja Shopping,V003,João Souza,15/08/2025,15/08/2025,CONCLUIDA,
9125,Gabrielly Albuquerque,28/02/1950,710583266,203.459.687-00,"Fazenda Fonseca, 913",396,437,São Luiz,Borges,SP,51884350,11 5742-7402,P002,Smartphone,3,2500.0,PIX,L001,Loja Centro,V002,Maria Oliveira,30/05/2025,30/05/2025,CONCLUIDA,
6640,Brenda da Rosa,29/04/2002,158264034,172.364.908-22,"Viaduto de Teixeira, 642",579,591,Pantanal,Siqueira,PR,36340514,(081) 7642-3630,P004,Monitor,9,1200.0,PIX,L001,Loja Centro,V002,Maria Oliveira,28/09/2025,28/09/2025,CONCLUIDA,
4116,Carlos Eduardo Souza,12/06/1998,245081379,903.546.271-80,"Ladeira de Duarte, 3",757,25,São Jorge 1ª Seção,Lopes de Pires,RS,34102204,51 3121 0317,P004,Monitor,8,1200.0,Cartão de Débito,L003,Loja Bairro,V005,Barone Mendes,28/07/2025,28/07/2025,CONCLUIDA,
7736,Lunna Rezende,16/05/1963,285670438,798.531.246-37,"Travessa Casa Grande, 42",311,21,Vera Cruz,Fogaça,MG,49491381,+55 41 6843 0088,P004,Monitor,10,1200.0,PIX,L002,Loja Shopping,V004,Antonio Souza,24/02/2025,24/02/2025,CONCLUIDA,
1094,André Castro,21/05/1948,120748356,473.019.258-32,"Parque de Ribeiro, 29",722,7,Casa Branca,Sales,RJ,11744177,(021) 0337 1899,P004,Monitor,1,1200.0,Cartão de Crédito,L002,Loja Shopping,V004,Antonio Souza,26/04/2025,26/04/2025,CONCLUIDA,
8335,Esther Ramos,16/12/1985,83702514X,587.142.930-05,"Rua da Paz, 59",300,824,Jardim Felicidade,Garcia Grande,SP,07291725,81 2011-1591,P007,Caixa de Som,3,190.0,Boleto,L002,Loja Shopping,V003,João Souza,16/01/2025,16/01/2025,CONCLUIDA,
3360,Sr. Calebe Cavalcanti,27/10/1975,381076258,629.804.751-49,"Colônia de Siqueira, 46",176,28,Mirante,Fogaça,PR,85146963,21 5328-7649,P004,Monitor,8,1200.0,Cartão de Crédito,L003,Loja Bairro,V006,Thiago Curse,17/02/2025,17/02/2025,CONCLUIDA,
6472,Bella Vasconcelos,11/04/1948,632401874,052.138.479-60,"Travessa de Azevedo, 79",337,858,Floresta,Rodrigues da Mata,SP,97114482,+55 (084) 0376 9248,P009,Mouse Bluetooth,4,80.0,Dinheiro,L003,Loja Bairro,V006,Thiago Curse,12/11/2024,12/11/2024,CONCLUIDA,
2506,Guilherme Pacheco,29/04/1997,305241862,597.208.436-83,"Núcleo Anthony da Paz, 2",871,85,Vila Jardim São José,Porto,PR,42149966,+55 (021) 3154 1060,P004,Monitor,3,1200.0,Boleto,L001,Loja Centro,V002,Maria Oliveira,27/06/2025,27/06/2025,CONCLUIDA,
1922,Vitória Cirino,13/08/1966,738052462,071.956.384-48,"Recanto Vasconcelos, 3",972,50,Prado,Albuquerque das Flores,PR,99247065,(011) 6242-9847,P007,Caixa de Som,7,190.0,PIX,L003,Loja Bairro,V006,Thiago Curse,21/06/2025,21/06/2025,CONCLUIDA,
3627,Davi Lucas Abreu,28/05/1945,865703413,756.480.319-39,"Estação Macedo, 88",710,8,Vila Nova Cachoeirinha 1ª Seção,Moura de Lopes,RJ,74033711,+55 (084) 0067 2114,P005,Teclado Mecanico,7,450.0,Cartão de Crédito,L001,Loja Centro,V002,Maria Oliveira,14/08/2025,14/08/2025,CONCLUIDA,
8830,Clara da Mata,06/06/1967,865134273,081.526.734-71,"Parque Souza, 55",362,71,Nazare,Silva,RJ,87223939,+55 (011) 2231-3281,P003,Fone Bluetooth,8,300.0,PIX,L003,Loja Bairro,V006,Thiago Curse,07/10/2025,07/10/2025,CONCLUIDA,
3706,Ana Laura Barros,03/11/1993,367480529,804.792.153-32,"Favela Dias, 45",610,137,Vila Real 2ª Seção,Mendonça da Serra,MG,65854311,+55 81 4155-7057,P007,Caixa de Som,10,190.0,Dinheiro,L001,Loja Centro,V002,Maria Oliveira,17/08/2025,17/08/2025,CONCLUIDA,
8529,Dr. Gael Henrique Vargas,16/07/2003,08315467X,493.718.206-40,"Largo de Macedo, 804",248,2,Maria Helena,Duarte,RJ,56512348,0300-978-8985,P008,Mouse com fio,8,45.0,Dinheiro,L001,Loja Centro,V002,Maria Oliveira,17/02/2025,17/02/2025,CONCLUIDA,
4396,Nicolas Nascimento,02/05/1956,25710348X,792.564.310-25,"Área Alves, 605",554,307,Vila Maloca,Mendes,PR,61392864,+55 81 6063-9755,P009,Mouse Bluetooth,3,80.0,Cartão de Crédito,L003,Loja Bairro,V005,Barone Mendes,14/07/2025,14/07/2025,CONCLUIDA,
1691,Théo da Cunha,09/02/1997,106258734,540.123.976-99,"Vila de Macedo, 538",189,71,Vila Atila De Paiva,Lima,RJ,75802434,(041) 2578 6110,P001,Notebook,2,3500.0,Boleto,L001,Loja Centro,V001,Carlos Silva,09/08/2025,09/08/2025,CONCLUIDA,
5708,Srta. Bianca Novais,25/10/1963,457831601,702.184.539-14,"Sítio da Rosa, 946",25,434,Cônego Pinheiro 2ª Seção,Cardoso dos Dourados,RS,95053625,71 1074-1523,P001,Notebook,10,3500.0,Cartão de Crédito,L002,Loja Shopping,V003,João Souza,14/09/2025,14/09/2025,CONCLUIDA,
