id_cliente;nome_cliente;data_nascimento;rg;cpf;endereco;numero;complemento;bairro;cidade;estado;cep;telefone;codigo_produto;quantidade;data_venda;data_compra;forma_pagamento;codigo_loja;codigo_vendedor;valor_produto
1;Sra. Agatha da Rocha;05/12/2004;9713226;87459206300;Lagoa de Fernandes, 21;68;;Universo;Moura;SE;82781-569;3185762286;P003;1;12/03/2025;12/03/2025;Pix;L003;V005;300.0
2;Lara Alves;24/09/1990;1272221;78625043135;Avenida Azevedo;22;;Vila Madre Gertrudes 3ª Seção;Carvalho da Mata;SC;40888575;553130833625;P005;5;28/08/2025;28/08/2025;Cartao Debito;L003;V005;450.0
3;Dra. Emanuella Castro;23/05/1963;8733861;59136807400;Sítio de Martins, 72;30;;Etelvina Carneiro;da Costa do Campo;SP;11999310;558495718451;P001;5;18/11/2024;18/11/2024;Cartao Debito;L002;V003;3500.0
4;Maria Freitas;11/02/1960;1327028;42376019869;Núcleo Caleb das Neves, 9;49;;Teixeira Dias;Gonçalves de Sales;AM;48189354;8407824663;P002;1;01/11/2024;01/11/2024;Cartao Debito;L001;V002;2500.0
5;Melina Novais;01/03/1990;7556079;72406351980;Trecho Costa, 60;50;;Alto Vera Cruz;Montenegro da Praia;CE;68197-695;08147523520;P001;5;11/11/2024;11/11/2024;Pix;L003;V006;3500.0
6;Benjamin Moreira;17/03/2003;6207084;84139027541;Pátio de da Mota;7;;Nova Cachoeirinha;Oliveira;RO;48410-781;5506136862970;P001;3;29/04/2025;29/04/2025;Cartao Credito;L002;V003;3500.0
7;Maria Sophia da Mata;12/12/1996;9431588;83197246519;Núcleo Pacheco, 99;25;;Vila Nova Cachoeirinha 1ª Seção;Moraes;SC;07732-056;5507113833776;P002;4;03/12/2023;03/12/2023;Cartao Debito;L003;V005;2500.0
8;Antony da Rosa;11/01/1962;4768603;85924107620;Avenida de Mendonça, 15;41;;Santa Maria;Fonseca;TO;29648657;4122836062;P004;5;26/10/2024;26/10/2024;Dinheiro;L003;V006;1200.0
9;Raquel Freitas;22/10/1985;9964399;29751308640;Rua Porto, 46;819;;Cachoeirinha;da Cunha;GO;49235528;2145559415;P005;2;27/08/2025;27/08/2025;Cartao Credito;L001;V001;450.0
10;Ester Martins;18/07/1966;3359349;70584193297;Chácara Pietro Farias, 26;507;;Brasil Industrial;Teixeira;PA;44202274;02105609136;P006;2;24/10/2023;24/10/2023;Cartao Credito;L003;V006;250.0
11;Kaique Ramos;19/01/2007;5670993;79531860203;Morro Josué Gomes, 34;846;;Etelvina Carneiro;Siqueira;MS;86585-472;2100242914;P004;3;31/03/2024;31/03/2024;Dinheiro;L003;V006;1200.0
12;Luiz Fernando Cavalcanti;12/10/1971;9735584;91635804701;Esplanada Pedro Lucas Castro, 82;81;;Aguas Claras;Sousa;AM;77738372;8120227596;P001;1;25/11/2024;25/11/2024;Cartao Credito;L002;V004;3500.0
13;Antony Guerra;05/03/2000;9251705;16529073434;Área de Pereira, 31;5;;Satelite;Vieira de Minas;RS;46695-116;5508104932883;P003;5;12/07/2024;12/07/2024;Dinheiro;L002;V004;300.0
14;Mariane Camargo;28/01/1990;4192632;84162357080;Largo de da Cruz, 51;889;;Itaipu;Porto;AC;43526-282;5508403259484;P001;5;05/03/2024;05/03/2024;Cartao Debito;L002;V003;3500.0
15;Luiz Fernando Teixeira;26/03/1977;4213109;57364109820;Campo de Pacheco, 11;1;;Antonio Ribeiro De Abreu 1ª Seção;Campos;GO;32626-429;2103206372;P006;3;22/06/2025;22/06/2025;Cartao Credito;L001;V002;250.0
16;Sra. Eduarda Abreu;09/03/1988;3178702;02938671431;Recanto de Lima, 67;55;;Nazare;Abreu de Minas;PB;13280433;3141984989;P001;4;31/03/2025;31/03/2025;Dinheiro;L001;V002;3500.0
17;Maysa Albuquerque;20/09/1961;7177425;27610849340;Fazenda de Cassiano, 78;41;;Jardim Montanhês;Albuquerque da Prata;SE;21809-307;08154378660;P003;3;26/12/2023;26/12/2023;Dinheiro;L003;V005;300.0
18;Ana Julia Brito;27/01/2005;4965483;26789154337;Conjunto João Lucas Viana, 847;280;;Santa Tereza;Nunes;PI;49362-631;5147975986;P001;5;09/09/2024;09/09/2024;Cartao Credito;L002;V004;3500.0
19;Dr. Antony da Conceicao;17/05/1985;3182114;80347695256;Loteamento Pietra Rezende, 43;57;;Caiçaras;Novais do Galho;TO;57063028;5508186471873;P002;4;23/04/2025;23/04/2025;Dinheiro;L003;V006;2500.0
20;Dr. Vinicius Sa;25/12/1974;3377587;29564703883;Chácara Jesus, 761;53;;Vila Puc;da Mota;AM;88958-826;5508119506327;P001;3;13/09/2024;13/09/2024;Dinheiro;L003;V006;3500.0
21;Luana Vargas;07/07/1973;2092257;87496032131;Largo Laura Silveira, 3;941;;Grota;Câmara Paulista;PR;24597-065;5502125991000;P005;4;24/04/2025;24/04/2025;Cartao Debito;L003;V005;450.0
22;Anthony Gabriel Monteiro;05/10/1971;5507384;92413506799;Favela Silveira, 35;137;;Vila Paquetá;Brito do Amparo;MS;54136-795;5507133465191;P005;1;25/11/2024;25/11/2024;Dinheiro;L003;V005;450.0
23;Carlos Eduardo da Cunha;22/06/1979;8466424;08192476340;Ladeira de Casa Grande, 59;251;;Ipiranga;Vasconcelos;DF;94038-453;05105017958;P005;2;23/06/2025;23/06/2025;Dinheiro;L003;V006;450.0
