id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,numero,complemento,bairro,cidade,estado,cep,telefone,codigo_produto,quantidade,data_venda,data_compra,forma_pagamento,codigo_loja,codigo_vendedor,valor_produto
1,Allana Barbosa,25/06/1968,7021585,24716958094,Trevo de Gomes,20,nan,Ouro Minas,Sao Paulo,SP,03904855,5508114586489,P005,2,19/07/2024,19/07/2024,Pix,L003,V005,150.0
2,Heloisa Brito,19/03/1958,9043208,30269574107,"Aeroporto Vinicius Sales, 269",14,nan,Jaqueline,Sao Paulo,SP,65413288,5152775822,P008,4,15/03/2024,15/03/2024,Cartao Credito,L002,V003,600.0
3,Caue da Costa,13/10/1983,6715614,39027165840,"Morro Peixoto, 41",64,nan,Sao Marcos,Sao Paulo,SP,24067218,3100328709,P002,3,12/02/2025,12/02/2025,Pix,L003,V005,2500.0
4,Maria da Cunha,25/11/1986,8982349,56198723003,Conjunto de Pires,36,nan,Venda Nova,Sao Paulo,SP,56910938,5505199894127,P008,2,09/10/2025,09/10/2025,Pix,L001,V001,600.0
5,Joao Casa Grande,10/10/1995,3864201,71605982377,"Residencial Barbosa, 14",17,nan,Bonfim,Sao Paulo,SP,38022102,3009325879,P006,4,03/10/2024,03/10/2024,Cartao Credito,L002,V004,200.0
6,Anthony Gabriel Duarte,10/02/1983,1361000,7521943805,"Recanto Yago Mendonca, 39",87,nan,Teixeira Dias,Sao Paulo,SP,12730056,3185216417,P002,5,29/01/2024,29/01/2024,Pix,L002,V004,2500.0
7,Maria Fernanda Teixeira,29/06/1967,4093919,68519043224,"Vereda Sarah Freitas, 2",69,nan,Delta,Sao Paulo,SP,56563768,1189361989,P001,1,16/11/2023,16/11/2023,Pix,L003,V006,3500.0
8,Francisco Oliveira,31/12/1974,4539804,94735812032,"Rua Larissa Machado, 94",93,nan,Serra Do Curral,Sao Paulo,SP,94370286,8185150496,P002,3,15/02/2024,15/02/2024,Cartao Debito,L001,V002,2500.0
9,Bella Ribeiro,26/02/1977,1847873,82051397686,Area Alves,767,nan,Juliana,Sao Paulo,SP,71067995,5505155542168,P002,3,28/07/2024,28/07/2024,Cartao Credito,L002,V004,2500.0
10,Maria Clara Fonseca,03/06/1980,4338261,41923758691,"Lagoa de Rios, 850",57,nan,Novo Aarao Reis,Sao Paulo,SP,23980356,5136299660,P005,5,15/09/2024,15/09/2024,Dinheiro,L002,V004,150.0
11,Ana Julia Pastor,07/02/1968,2713092,36290417525,"Estacao Joana Azevedo, 27",796,nan,Vila Barragem Santa Lucia,Sao Paulo,SP,09801793,1164925999,P001,4,29/09/2025,29/09/2025,Cartao Debito,L003,V005,3500.0
12,Larissa Cunha,18/10/1958,1823523,47236801526,"Travessa Eduarda Santos, 72",368,nan,Ceu Azul,Sao Paulo,SP,19393492,553135691913,P002,2,25/02/2024,25/02/2024,Dinheiro,L002,V003,2500.0
13,Rafaela da Conceicao,17/09/1979,1087192,90583674283,Chacara Matteo Vieira,73,nan,Leonina,Sao Paulo,SP,71354092,4171858716,P003,4,22/08/2025,22/08/2025,Cartao Credito,L001,V001,1800.0
14,Davi Miguel da Paz,02/10/1998,4290877,42967035874,Favela Maria Vitoria Andrade,20,nan,Conjunto California I,Sao Paulo,SP,35931262,7137491454,P003,3,08/02/2025,08/02/2025,Pix,L001,V002,1800.0
15,Ana Laura Moura,10/06/1983,2873607,76143598282,"Estrada Diogo Albuquerque, 55",71,nan,Estrela,Sao Paulo,SP,17681369,8438924599,P007,5,11/03/2024,11/03/2024,Dinheiro,L001,V002,80.0
16,Isabella Lima,08/09/1962,6247685,39640571261,"Loteamento de Sousa, 41",88,nan,Acaiaca,Sao Paulo,SP,84183223,1149329229,P002,4,08/02/2025,08/02/2025,Cartao Debito,L003,V006,2500.0
17,Nicole Sampaio,10/01/1969,7298526,28317046508,"Esplanada Allana Marques, 83",11,nan,Vila Da Paz,Sao Paulo,SP,70098674,8456921182,P002,5,03/11/2023,03/11/2023,Dinheiro,L003,V005,2500.0
18,Davi Lucca Teixeira,15/11/1987,9001991,34925780638,"Area de Leao, 213",4,nan,Santa Lucia,Sao Paulo,SP,87443811,2169307004,P004,3,28/09/2025,28/09/2025,Cartao Debito,L003,V005,950.0
19,Luiz Miguel Vargas,14/09/1979,7425806,93241860787,"Lago Ribeiro, 1",887,nan,Sao Pedro,Sao Paulo,SP,12622992,551158577965,P005,4,14/01/2024,14/01/2024,Dinheiro,L002,V003,150.0
20,Esther Abreu,07/02/1960,9677634,75320681968,Sitio Vitoria da Rocha,79,nan,Vila Santo Antonio,Sao Paulo,SP,80734083,8106266052,P004,2,19/05/2025,19/05/2025,Pix,L003,V006,950.0
21,Vitor Fogaca,03/02/1989,6701536,93706251868,"Patio Joao Miguel Costa, 55",58,nan,Vila Da Amizade,Sao Paulo,SP,39688142,555112830089,P008,1,03/05/2024,03/05/2024,Dinheiro,L003,V006,600.0
22,Maria Isis Mendonca,08/08/1961,7356375,42638150762,"Estacao de Costa, 3",556,nan,Marieta 2a Secao,Sao Paulo,SP,89564782,8009853964,P006,3,01/04/2025,01/04/2025,Cartao Debito,L002,V003,200.0
23,Anthony Brito,12/05/1969,1581884,48506927102,"Ladeira Nogueira, 6",80,nan,Santa Rita De Cassia,Sao Paulo,SP,05172121,3113427801,P002,2,09/01/2024,09/01/2024,Cartao Credito,L003,V006,2500.0
24,Allana Guerra,19/03/1972,7965424,72045618994,"Area Macedo, 74",61,nan,Pompeia,Sao Paulo,SP,97192549,5177237774,P002,3,03/11/2023,03/11/2023,Pix,L002,V004,2500.0
25,Gael Goncalves,11/01/1965,3864373,20657839159,Aeroporto de Gomes,9,nan,Fazendinha,Sao Paulo,SP,41341300,3004657645,P004,1,28/11/2024,28/11/2024,Pix,L001,V002,950.0
26,Srta Clarice da Mota,05/02/1972,9271025,53869241764,"Vale Giovanna Gomes, 6",37,nan,Canada,Sao Paulo,SP,63225460,557167620053,P002,2,07/09/2025,07/09/2025,Cartao Credito,L001,V002,2500.0
27,Arthur Gabriel Sousa,31/05/1961,1233774,98153402714,"Passarela Joao Miguel Barbosa, 40",20,nan,Vila Sao Gabriel,Sao Paulo,SP,63715303,558410344067,P005,3,04/10/2025,04/10/2025,Dinheiro,L002,V004,150.0
28,Alexandre da Mata,03/04/1987,9833022,34970156875,"Colonia Novaes, 3",80,nan,Centro,Sao Paulo,SP,95046825,3000266436,P008,2,23/11/2024,23/11/2024,Cartao Credito,L001,V001,600.0
29,Ana Julia Nogueira,10/04/1996,3316103,32475980141,"Conjunto Ribeiro, 36",28,nan,Ventosa,Sao Paulo,SP,61936206,5008894429,P005,4,20/08/2025,20/08/2025,Cartao Debito,L003,V006,150.0
30,Kamilly Cavalcante,28/08/1957,8396669,16829750458,"Chacara Carlos Eduardo Rezende, 286",8,nan,Sao Geraldo,Sao Paulo,SP,36502222,2160332540,P007,3,27/01/2024,27/01/2024,Cartao Credito,L001,V002,80.0
31,Lucas Gabriel da Conceicao,24/07/1972,8515984,70261549316,"Viela de Costa, 432",693,nan,Havai,Sao Paulo,SP,87363954,3138662645,P006,1,11/12/2024,11/12/2024,Cartao Debito,L003,V006,200.0
32,Sophia Teixeira,24/03/1962,1722425,80321657977,Estrada Viana,394,nan,Vila Maloca,Sao Paulo,SP,52725377,1192274983,P008,3,28/08/2024,28/08/2024,Cartao Debito,L002,V004,600.0
33,Joao Gabriel Vasconcelos,17/03/1980,1617360,49526130707,Area Pacheco,95,nan,Anchieta,Sao Paulo,SP,63714414,2157056343,P008,3,07/02/2024,07/02/2024,Dinheiro,L001,V002,600.0
34,Theo Ferreira,30/03/1993,5024942,60397154216,"Praia de Casa Grande, 29",92,nan,Cruzeiro,Sao Paulo,SP,22302265,6187181694,P005,5,03/09/2025,03/09/2025,Pix,L003,V005,150.0
35,Davi Lucca Jesus,19/06/2005,6986040,81693405270,"Lago Sampaio, 221",59,nan,Vila Nova Gameleira 3a Secao,Sao Paulo,SP,53587594,555187544100,P008,4,30/07/2024,30/07/2024,Dinheiro,L001,V002,600.0
36,Joao Miguel Leao,03/11/1997,3173690,19207854341,"Viaduto de Mendonca, 21",86,nan,Maria Helena,Sao Paulo,SP,13766704,551128281458,P001,2,09/01/2025,09/01/2025,Dinheiro,L003,V006,3500.0
37,Dom Mendes,07/01/1981,8894215,78035641948,Residencial de Pinto,209,nan,Monsenhor Messias,Sao Paulo,SP,49529560,557112714365,P002,3,07/10/2024,07/10/2024,Pix,L003,V006,2500.0
38,Rael Nogueira,25/07/1976,7702810,72950316425,"Largo Cavalcanti, 10",45,nan,Conjunto Capitao Eduardo,Sao Paulo,SP,72617669,556191558329,P004,1,28/12/2023,28/12/2023,Cartao Debito,L003,V005,950.0
