id_cliente;nome_cliente;data_nascimento;rg;cpf;endereco;numero;complemento;bairro;cidade;estado;cep;telefone;codigo_produto;nome_produto;quantidade;valor_produto;data_venda;data_compra;forma_pagamento;codigo_loja;nome_loja;codigo_vendedor;nome_vendedor;status_venda;observacoes;data_importacao;data_registro
1;Ana Macedo;14/05/1970;1013686;43917608278;Estrada de Fogaça, 85;22;;Vila São João Batista;São Paulo;SP;45272-747;08423771016;P004;Monitor;3;950.0;24/12/2023;24/12/2023;Boleto;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
2;Leandro Silva;18/09/1956;2510143;30725618426;Aeroporto de Dias, 51;20;;Castelo;São Paulo;SP;65027-852;4116382673;P003;Tablet;3;1800.0;23/06/2025;23/06/2025;Boleto;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
3;Bella Pereira;06/04/1994;5586011;49028753656;Jardim Aragão, 3;41;;Eymard;São Paulo;SP;77888-349;5504151754288;P001;Notebook;4;3500.0;14/01/2025;14/01/2025;Cartao Debito;L002;Loja Shopping;V007;Mackenzie Nogueira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
4;Dra. Ana Sousa;23/06/1989;9636067;70168549220;Parque Castro, 76;46;;Alpes;São Paulo;SP;73862377;05000349710;P005;Teclado;1;150.0;04/11/2024;04/11/2024;Cartao Debito;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
5;Srta. Larissa Novais;01/11/1976;5035712;85923760177;Praça da Cruz, 752;12;;Vila Olhos D'água;São Paulo;SP;88881150;5508136957202;P004;Monitor;1;950.0;18/08/2025;18/08/2025;Boleto;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
6;Benjamin Sales;22/03/2005;7753138;56491370801;Conjunto de Abreu, 269;95;;Dona Clara;São Paulo;SP;62241388;04141703517;P006;Caixa de Som;5;200.0;12/08/2024;12/08/2024;Cartao Debito;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
7;Dr. Vitor Gabriel Machado;26/09/2003;7645764;78641053948;Estação Brenda da Cunha, 608;22;;Juliana;São Paulo;SP;09599-969;07162596037;P004;Monitor;5;950.0;27/03/2024;27/03/2024;Boleto;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
8;Ana Clara da Rocha;22/07/1964;8211800;62830159721;Trecho de Peixoto, 905;14;;Vila Santo Antônio;São Paulo;SP;74945002;551129200518;P007;Mouse;2;80.0;17/05/2025;17/05/2025;Pix;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
9;Bernardo Souza;29/03/2005;1849278;76095412307;Alameda Aylla da Rocha;77;;Jaqueline;São Paulo;SP;10953-806;6122842698;P001;Notebook;4;3500.0;30/12/2023;30/12/2023;Cartao Debito;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
10;Srta. Stephany da Cunha;15/09/1993;7907515;81650294360;Estrada da Cruz;74;;Ribeiro De Abreu;São Paulo;SP;70426-176;6176257447;P005;Teclado;4;150.0;16/05/2025;16/05/2025;Cartao Debito;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
