id_venda,id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,numero,complemento,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor,data_compra,data_venda
101,4619,"Rodrigo Costa",08/11/1954,135746826,789.502.613-59,"Quadra Fogaça, 28",726,70,Planalto,"da Cunha de Minas",SP,32154148,"11 7197 9070",P007,"Caixa de Som",9,190.0,"Cartão de Crédito",L002,"Loja Shopping",V004,"Antonio Souza",15/07/2025,15/07/2025
102,7075,"Maria Flor Fonseca",16/07/1972,457301867,823.547.106-07,"Chácara de Azevedo, 38",428,27,"Inconfidência",Moraes,PR,24061782,"21 8549 6962",P004,Monitor,8,1200.0,Boleto,L002,"Loja Shopping",V003,"João Souza",17/10/2024,17/10/2024
103,8202,"Valentina Campos",15/08/1959,508734617,945.826.170-85,"Passarela de Viana",443,50,"Alípio De Melo","Pimenta da Mata",SP,45545412,"41 7810 7678",P009,"Mouse Bluetooth",3,80.0,"Cartão de Crédito",L003,"Loja Bairro",V005,"Barone Mendes",06/11/2024,06/11/2024
104,7069,"Maria Flor Machado",12/07/1953,058413625,805.613.249-05,"Aeroporto de da Cruz, 68",95,5,"Cônego Pinheiro 1ª Seção","Pereira dos Dourados",SP,38888485,"(081) 8289 4790",P005,"Teclado Mecanico",8,450.0,"Cartão de Débito",L002,"Loja Shopping",V007,"Mackenzie Nogueira",04/04/2025,04/04/2025
105,3550,"Enzo Andrade",20/03/1992,365187240,387.419.520-14,"Parque de Alves",319,33,"Vila Cemig","Costela de Siqueira",PR,40846217,"(011) 4954 7175",P004,Monitor,5,1200.0,Boleto,L002,"Loja Shopping",V004,"Antonio Souza",27/07/2025,27/07/2025
106,8435,"Antonella Montenegro",01/01/1962,074365186,027.619.843-31,"Estação de Andrade, 95",717,59,Araguaia,"Ferreira de Abreu",PR,62846278,"(081) 3685 8996",P007,"Caixa de Som",4,190.0,PIX,L001,"Loja Centro",V001,"Carlos Silva",07/09/2025,07/09/2025
107,6759,"Maria Alice Nascimento",29/06/1945,215760438,438.705.916-84,"Aeroporto de Moraes",841,11,"Dom Joaquim",Siqueira,MG,60380134,"51 1320 5730",P009,"Mouse Bluetooth",7,80.0,PIX,L002,"Loja Shopping",V003,"João Souza",17/01/2025,17/01/2025
108,9956,"Bernardo Teixeira",05/04/1978,347861209,341.580.697-93,"Lagoa Ana Carolina Teixeira, 3",616,572,"Vila Paraíso","Nascimento Alegre",PR,23215314,"21 0274-6244",P003,"Fone Bluetooth",7,300.0,Dinheiro,L002,"Loja Shopping",V004,"Antonio Souza",26/05/2025,26/05/2025
109,5626,"Sofia da Rosa",17/11/1944,083421762,149.865.037-66,"Condomínio Juan Aparecida, 66",118,5,Comiteco,Cassiano,MG,30786185,"+55 (021) 4681 7340",P009,"Mouse Bluetooth",8,80.0,Dinheiro,L001,"Loja Centro",V001,"Carlos Silva",01/07/2025,01/07/2025
110,588,"Miguel da Cunha",14/07/1961,058632712,674.283.051-44,"Setor da Rosa",950,66,Bonfim,Fernandes,RJ,77217145,"(021) 3101 9246",P002,Smartphone,9,2500.0,"Cartão de Débito",L003,"Loja Bairro",V005,"Barone Mendes",01/09/2025,01/09/2025
111,218,"Pietra Correia",18/10/1957,625743106,751.269.843-73,"Sítio de Cavalcante, 703",30,34,"Bela Vitoria",Ramos,RS,27418221,"(061) 7570 7302",P007,"Caixa de Som",10,190.0,"Cartão de Crédito",L002,"Loja Shopping",V004,"Antonio Souza",13/12/2024,13/12/2024
112,913,"Mariana Cunha",31/10/1976,570214361,450.693.187-48,"Chácara da Costa, 37",351,67,"Vila Esplanada","da Paz",MG,55828780,"+55 71 4257 4522",P009,"Mouse Bluetooth",9,80.0,PIX,L002,"Loja Shopping",V007,"Mackenzie Nogueira",25/07/2025,25/07/2025
113,3733,"Rafaela Silva",28/01/1995,851674306,724.681.905-30,"Via Maria Sophia Moreira, 1",453,41,"Sagrada Família",Farias,SP,72593825,"+55 11 4597-3705",P008,"Mouse com fio",1,45.0,"Cartão de Crédito",L002,"Loja Shopping",V004,"Antonio Souza",23/01/2025,23/01/2025
114,5670,"Heloisa Araújo",20/10/1944,803214753,864.037.529-10,"Passarela Sales",642,86,"Vila São João Batista","Pereira da Prata",RS,84649269,"21 7656 6499",P007,"Caixa de Som",6,190.0,PIX,L002,"Loja Shopping",V003,"João Souza",02/07/2025,02/07/2025
115,2932,"Levi Correia",24/01/1993,302461759,407.298.615-11,"Largo Costa, 1",848,199,Cardoso,Martins,RJ,72942331,"(051) 9532-2058",P007,"Caixa de Som",2,190.0,PIX,L003,"Loja Bairro",V005,"Barone Mendes",13/01/2025,13/01/2025
116,5016,"Danilo Lima",30/03/1970,853274010,793.416.580-39,"Aeroporto de Garcia, 1",124,75,"Engenho Nogueira","Andrade de Viana",RS,92135791,"+55 61 3963-1777",P002,Smartphone,6,2500.0,PIX,L002,"Loja Shopping",V003,"João Souza",26/04/2025,26/04/2025
117,5083,"Dante Vasconcelos",11/01/2007,205841375,280.973.164-04,"Recanto da Cunha, 548",866,90,Barreiro,Rocha,MG,78261515,"+55 (011) 7046-1737",P005,"Teclado Mecanico",7,450.0,Dinheiro,L002,"Loja Shopping",V004,"Antonio Souza",09/12/2024,09/12/2024
118,1144,"Antônio Albuquerque",14/12/1974,387516207,790.834.625-10,"Avenida Vinícius Rezende, 300",762,1,"São Jorge 1ª Seção",Borges,SP,35905877,"+55 61 3319-1802",P006,"Smart Watch",9,250.0,PIX,L001,"Loja Centro",V001,"Carlos Silva",18/11/2024,18/11/2024
119,6865,"Brayan Campos",09/05/1954,63541028X,640.783.192-03,"Praia Alícia Monteiro, 36",407,91,"Vila Batik","Gomes Verde",SP,01590839,"(051) 7119 8914",P009,"Mouse Bluetooth",8,80.0,Boleto,L003,"Loja Bairro",V005,"Barone Mendes",16/06/2025,16/06/2025
