id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,numero,complemento,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor,data_venda,data_compra,status_venda,observacoes
1,Alicia Siqueira,28/05/2000,6672276,4816275371,"Alameda Cardoso, 49",3,nan,Novo Sao Lucas,Sao Paulo,SP,87430573,555175781698,P003,Tablet,1,1800.0,Boleto,L001,Loja Centro,V002,Maria Oliveira,21/04/2024,21/04/2024,CONCLUIDA,
2,Noah Araujo,24/06/1960,1593805,41025986776,Jardim Moura,6,nan,Atila De Paiva,Sao Paulo,SP,27833770,3101068888,P005,Teclado,2,150.0,Boleto,L001,Loja Centro,V001,Carlos Silva,03/02/2025,03/02/2025,CONCLUIDA,
3,Ana Vitoria Castro,09/01/1976,4325663,86105793286,"Residencial da Rocha, 3",79,nan,Vila Jardim Sao Jose,Sao Paulo,SP,21526918,5505114995930,P007,Mouse,3,80.0,Pix,L002,Loja Shopping,V007,Mackenzie Nogueira,25/11/2023,25/11/2023,CONCLUIDA,
4,Diego Freitas,30/04/1956,2394660,31948527600,Colonia Cirino,73,nan,Santa Amelia,Sao Paulo,SP,97840436,5102923227,P007,Mouse,5,80.0,Cartao Credito,L002,Loja Shopping,V004,Antonio Santos,17/08/2025,17/08/2025,CONCLUIDA,
5,Maria Fernanda Viana,20/04/1966,9421566,63248105933,Sitio Valentina Novaes,34,nan,Rio Branco,Sao Paulo,SP,49187622,5506114678647,P002,Smartphone,5,2500.0,Dinheiro,L001,Loja Centro,V001,Carlos Silva,04/01/2025,04/01/2025,CONCLUIDA,
6,Levi da Luz,25/04/1971,6423236,52703681453,"Morro Elisa Sa, 1",95,nan,Vila Ouro Minas,Sao Paulo,SP,08228795,5503103129695,P004,Monitor,4,950.0,Cartao Debito,L002,Loja Shopping,V004,Antonio Santos,28/09/2024,28/09/2024,CONCLUIDA,
7,Joao Pedro Sa,31/12/2001,5981248,4257819685,"Fazenda Isis Moraes, 55",863,nan,Custodinha,Sao Paulo,SP,76077480,551148698378,P001,Notebook,4,3500.0,Pix,L003,Loja Bairro,V005,Barone Mendes,19/04/2025,19/04/2025,CONCLUIDA,
8,Levi Campos,09/02/1986,9184955,23786950121,"Colonia da Luz, 12",82,nan,Venda Nova,Sao Paulo,SP,54915111,5506171704975,P005,Teclado,2,150.0,Cartao Debito,L003,Loja Bairro,V006,Thiago Costa,02/03/2025,02/03/2025,CONCLUIDA,
9,Emilly Rios,21/06/1974,2597200,31706892403,"Nucleo Carvalho, 36",9,nan,Solar Do Barreiro,Sao Paulo,SP,48820054,5507171375421,P001,Notebook,3,3500.0,Dinheiro,L001,Loja Centro,V001,Carlos Silva,25/07/2024,25/07/2024,CONCLUIDA,
10,Gabrielly Azevedo,07/11/2006,9428350,85390672429,"Viela Nogueira, 79",11,nan,Anchieta,Sao Paulo,SP,30296892,4120476195,P002,Smartphone,1,2500.0,Cartao Credito,L002,Loja Shopping,V007,Mackenzie Nogueira,06/10/2025,06/10/2025,CONCLUIDA,
11,Agatha Santos,07/07/1980,9742325,81607243903,"Alameda Enzo da Mota, 948",34,nan,Bonsucesso,Sao Paulo,SP,76081400,5506157751505,P001,Notebook,3,3500.0,Cartao Debito,L003,Loja Bairro,V006,Thiago Costa,16/01/2025,16/01/2025,CONCLUIDA,
12,Otavio Machado,25/02/1987,8948364,60832495115,"Passarela Rodrigues, 54",141,nan,Eymard,Sao Paulo,SP,56437085,3168956319,P004,Monitor,1,950.0,Cartao Credito,L002,Loja Shopping,V007,Mackenzie Nogueira,15/01/2024,15/01/2024,CONCLUIDA,
13,Emanuel Sa,05/09/1973,8704595,34951802732,"Praia Novais, 23",64,nan,Maria Goretti,Sao Paulo,SP,40157970,5160582956,P002,Smartphone,1,2500.0,Cartao Credito,L001,Loja Centro,V002,Maria Oliveira,06/09/2024,06/09/2024,CONCLUIDA,
14,Benjamin Nunes,05/10/1972,9960490,82163794040,"Setor Ferreira, 747",26,nan,Vitoria Da Conquista,Sao Paulo,SP,79696124,5507155108741,P006,Caixa de Som,4,200.0,Dinheiro,L001,Loja Centro,V002,Maria Oliveira,13/11/2024,13/11/2024,CONCLUIDA,
15,Matteo Novaes,20/06/1978,2673409,68034952133,"Vale Arthur Sales, 87",56,nan,Sion,Sao Paulo,SP,02922033,5004682369,P007,Mouse,1,80.0,Boleto,L001,Loja Centro,V001,Carlos Silva,21/01/2024,21/01/2024,CONCLUIDA,
16,Caroline Vargas,11/04/1976,4048971,1325479616,"Alameda Fernanda da Costa, 33",659,nan,Diamante,Sao Paulo,SP,95654200,8133582491,P001,Notebook,4,3500.0,Dinheiro,L001,Loja Centro,V002,Maria Oliveira,26/04/2025,26/04/2025,CONCLUIDA,
17,Milena Araujo,09/10/1956,4608921,29634810713,Rua Hellena da Mota,776,nan,Madre Gertrudes,Sao Paulo,SP,50314006,557116897317,P007,Mouse,2,80.0,Boleto,L002,Loja Shopping,V003,Joao Souza,06/10/2024,06/10/2024,CONCLUIDA,
18,Helena Sampaio,29/04/1996,4101441,19263478031,"Esplanada Siqueira, 25",2,nan,Madri,Sao Paulo,SP,79629628,5508104479890,P001,Notebook,4,3500.0,Dinheiro,L001,Loja Centro,V001,Carlos Silva,20/12/2024,20/12/2024,CONCLUIDA,
19,Maria Fernanda Pimenta,02/05/1984,3176172,59840613251,"Setor de Leao, 4",40,nan,Nova Esperanca,Sao Paulo,SP,36773413,8457980960,P008,Impressora,4,600.0,Cartao Debito,L003,Loja Bairro,V005,Barone Mendes,13/09/2025,13/09/2025,CONCLUIDA,
20,Davi Lucas Pereira,14/09/1972,7311707,32160789496,"Patio Caio Carvalho, 3",2,nan,Conjunto Serra Verde,Sao Paulo,SP,29175694,558177874780,P005,Teclado,3,150.0,Dinheiro,L001,Loja Centro,V001,Carlos Silva,16/11/2023,16/11/2023,CONCLUIDA,
21,Luana Mendes,26/01/1985,1989336,72863541919,"Morro Alexia Leao, 57",30,nan,Jardim Do Vale,Sao Paulo,SP,01204585,7124654387,P003,Tablet,1,1800.0,Cartao Credito,L002,Loja Shopping,V004,Antonio Santos,29/08/2025,29/08/2025,CONCLUIDA,
22,Vinicius Montenegro,24/08/1990,5639209,96257148049,"Aeroporto Anna Liz Rezende, 82",2,nan,Venda Nova,Sao Paulo,SP,83767300,8175602650,P007,Mouse,2,80.0,Cartao Debito,L002,Loja Shopping,V007,Mackenzie Nogueira,23/10/2024,23/10/2024,CONCLUIDA,
23,Augusto Rodrigues,21/01/1977,3022188,52438719664,"Viela Almeida, 511",54,nan,Vila Boa Vista,Sao Paulo,SP,38822818,552125143629,P002,Smartphone,5,2500.0,Pix,L002,Loja Shopping,V007,Mackenzie Nogueira,10/11/2024,10/11/2024,CONCLUIDA,
24,Luiz Gustavo da Paz,13/08/2007,2571203,94512308660,"Viaduto Leao, 95",57,nan,Mariano De Abreu,Sao Paulo,SP,46342344,5505157381654,P005,Teclado,2,150.0,Cartao Credito,L001,Loja Centro,V002,Maria Oliveira,18/07/2025,18/07/2025,CONCLUIDA,
25,Maria Clara Camara,03/06/1978,9699227,15263790406,"Recanto de Rios, 361",47,nan,Granja Werneck,Sao Paulo,SP,60391469,8427741739,P002,Smartphone,1,2500.0,Dinheiro,L002,Loja Shopping,V004,Antonio Santos,01/01/2025,01/01/2025,CONCLUIDA,
26,Theodoro Caldeira,09/06/1977,5209812,51263804780,"Setor de Moreira, 43",49,nan,Juliana,Sao Paulo,SP,02503097,5505110988076,P007,Mouse,2,80.0,Boleto,L002,Loja Shopping,V003,Joao Souza,07/02/2024,07/02/2024,CONCLUIDA,
27,Brayan Mendonca,23/09/1995,2156650,60479258120,"Avenida Livia Pastor, 76",50,nan,Andiroba,Sao Paulo,SP,28861195,6163636104,P008,Impressora,4,600.0,Cartao Credito,L002,Loja Shopping,V003,Joao Souza,08/12/2023,08/12/2023,CONCLUIDA,
28,Stephany Cardoso,12/06/1968,6455613,25130687930,"Trevo Nunes, 2",90,nan,Tunel De Ibirite,Sao Paulo,SP,70259906,556174954133,P001,Notebook,2,3500.0,Dinheiro,L003,Loja Bairro,V006,Thiago Costa,17/12/2024,17/12/2024,CONCLUIDA,
29,Emilly Carvalho,08/09/1996,5288518,96710382478,"Sitio Novaes, 30",4,nan,Pirineus,Sao Paulo,SP,58744778,1128937022,P006,Caixa de Som,3,200.0,Cartao Credito,L001,Loja Centro,V002,Maria Oliveira,24/01/2024,24/01/2024,CONCLUIDA,
30,Maria Cecilia Duarte,08/12/1956,4936061,34801567975,Conjunto Marques,36,nan,Maria Goretti,Sao Paulo,SP,44229911,2122837257,P003,Tablet,4,1800.0,Dinheiro,L002,Loja Shopping,V003,Joao Souza,03/11/2023,03/11/2023,CONCLUIDA,
31,Luiz Otavio Casa Grande,09/01/1972,2002727,27109645894,Aeroporto Melissa Mendonca,25,nan,Nova Floresta,Sao Paulo,SP,72192653,5507181208581,P007,Mouse,3,80.0,Dinheiro,L002,Loja Shopping,V004,Antonio Santos,27/08/2025,27/08/2025,CONCLUIDA,
32,Ester Cavalcanti,25/04/1966,9803922,29756031859,"Rodovia Pietra da Rocha, 93",957,nan,Jardim Felicidade,Sao Paulo,SP,52518832,1194421402,P003,Tablet,2,1800.0,Dinheiro,L002,Loja Shopping,V007,Mackenzie Nogueira,23/08/2024,23/08/2024,CONCLUIDA,
33,Bianca Vasconcelos,29/05/1969,7046231,95720346180,"Trecho Silveira, 63",18,nan,Cardoso,Sao Paulo,SP,58380862,8002206932,P007,Mouse,1,80.0,Cartao Credito,L003,Loja Bairro,V006,Thiago Costa,28/02/2024,28/02/2024,CONCLUIDA,
34,Marcela Andrade,04/09/1969,8950170,37162845991,"Ladeira de Lopes, 554",42,nan,Parque Sao Pedro,Sao Paulo,SP,77792311,7120526208,P005,Teclado,4,150.0,Pix,L003,Loja Bairro,V005,Barone Mendes,31/01/2024,31/01/2024,CONCLUIDA,
35,Clarice Cunha,31/01/1975,8674275,48063275144,"Avenida de Machado, 10",83,nan,Vila Calafate,Sao Paulo,SP,52049791,8178347264,P001,Notebook,2,3500.0,Boleto,L001,Loja Centro,V001,Carlos Silva,06/07/2024,06/07/2024,CONCLUIDA,
36,Arthur Gabriel Camargo,06/04/1993,9095924,35249187005,Rua de Aragao,7,nan,Miramar,Sao Paulo,SP,55635249,5508117382019,P006,Caixa de Som,3,200.0,Cartao Debito,L001,Loja Centro,V002,Maria Oliveira,15/09/2025,15/09/2025,CONCLUIDA,
37,Matteo Moreira,15/11/2005,9783270,82753649065,"Estrada Antonio Nunes, 93",80,nan,Piratininga,Sao Paulo,SP,97474304,4192550967,P005,Teclado,3,150.0,Boleto,L001,Loja Centro,V001,Carlos Silva,07/07/2024,07/07/2024,CONCLUIDA,
38,Ester Casa Grande,30/12/1989,3220984,67304159839,"Lagoa Brito, 6",309,nan,Petropolis,Sao Paulo,SP,53978267,8002630265,P007,Mouse,5,80.0,Dinheiro,L002,Loja Shopping,V003,Joao Souza,10/11/2023,10/11/2023,CONCLUIDA,
39,Benicio Lopes,18/12/2006,9098386,38904276500,"Trevo Luiz Gustavo Barros, 87",6,nan,Serrano,Sao Paulo,SP,05543961,2160787499,P002,Smartphone,4,2500.0,Pix,L001,Loja Centro,V001,Carlos Silva,16/09/2024,16/09/2024,CONCLUIDA,
40,Clarice Farias,23/10/1978,9151786,59243107607,"Residencial Anthony Souza, 54",26,nan,Etelvina Carneiro,Sao Paulo,SP,54335872,2136804411,P002,Smartphone,5,2500.0,Pix,L002,Loja Shopping,V003,Joao Souza,24/08/2024,24/08/2024,CONCLUIDA,
41,Julia Duarte,14/11/1986,4664938,63910748287,"Distrito de Sampaio, 5",677,nan,Cinquentenario,Sao Paulo,SP,66926280,6144854135,P001,Notebook,2,3500.0,Boleto,L002,Loja Shopping,V003,Joao Souza,16/11/2023,16/11/2023,CONCLUIDA,
42,Mariah Barbosa,03/01/1987,6812816,47162059830,"Area Anthony Novaes, 67",821,nan,Santa Monica,Sao Paulo,SP,98604208,4153471739,P003,Tablet,4,1800.0,Pix,L002,Loja Shopping,V007,Mackenzie Nogueira,19/12/2023,19/12/2023,CONCLUIDA,
43,Pedro Pimenta,30/08/1969,1292277,89523467000,"Jardim de Novaes, 91",25,nan,Sao Damiao,Sao Paulo,SP,17136279,5503136715775,P003,Tablet,5,1800.0,Cartao Credito,L002,Loja Shopping,V004,Antonio Santos,20/09/2024,20/09/2024,CONCLUIDA,
44,Otto Andrade,15/02/1969,3936313,48521076371,"Jardim de Pimenta, 98",90,nan,Vila Dos Anjos,Sao Paulo,SP,05840041,554184994658,P006,Caixa de Som,1,200.0,Cartao Credito,L002,Loja Shopping,V004,Antonio Santos,25/11/2023,25/11/2023,CONCLUIDA,
45,Anthony Gabriel Viana,27/10/1984,7040637,84312560790,"Favela Costela, 95",401,nan,Camponesa 1a Secao,Sao Paulo,SP,63078484,3005251450,P001,Notebook,1,3500.0,Boleto,L001,Loja Centro,V002,Maria Oliveira,05/02/2025,05/02/2025,CONCLUIDA,
46,Pedro Henrique Ferreira,14/04/1997,9612547,40218793588,"Area Pastor, 53",56,nan,Boa Vista,Sao Paulo,SP,92044608,5506128576579,P003,Tablet,3,1800.0,Cartao Credito,L001,Loja Centro,V001,Carlos Silva,18/11/2024,18/11/2024,CONCLUIDA,
47,Raul Pires,04/11/1971,8554544,90852431732,"Loteamento Erick Freitas, 79",81,nan,Aeroporto,Sao Paulo,SP,24334055,6190955387,P008,Impressora,1,600.0,Dinheiro,L003,Loja Bairro,V006,Thiago Costa,19/08/2024,19/08/2024,CONCLUIDA,
