id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,numero,complemento,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor,data_compra,erros
1,Brenda Alves,09/02/1994,4108603,32156408726,Chácara Cunha,18,,Serra Do Curral,Silva,RS,37940-265,55842351161,006,Caixa de som,1,200.0,Cartão de Crédito,L003,Loja Bairro,V006,Thiago,23/10/2025,
10,Henry Gabriel Alves,15/10/1989,6685149,54162938709,Jardim Cavalcanti,240,,Universitário,Ferreira Alegre,PA,69340608,6135615951,003,Tablet,5,1800.0,Pix,L001,Loja Centro,V002,Fernanda,23/10/2025,
100,Maria Fernanda Moraes,10/05/1997,7475204,70451283988,"Setor de Abreu, 4",26,,Dom Silverio,Ramos de Minas,SC,07501102,55618193466,006,Caixa de som,3,200.0,Boleto,L001,Loja Centro,V001,Carlos,23/10/2025,
11,Thiago das Neves,25/02/1990,5472441,64213597873,"Aeroporto de da Rosa, 73",895,,Paquetá,Rocha de Cunha,PE,21489-513,04133200379,005,Teclado,1,150.0,Dinheiro,L001,Loja Centro,V002,Fernanda,23/10/2025,
12,Rafael Leão,09/10/2001,9658155,36791508493,"Vila Moreira, 90",81,,Chácara Leonina,Rios de Moura,PI,79868-727,04143487347,006,Caixa de som,5,200.0,Pix,L003,Loja Bairro,V005,Barone,23/10/2025,
13,Isaac da Mata,10/08/1972,9062250,12893640524,"Setor Maria Flor Leão, 4",16,,Sagrada Família,Mendes do Sul,MS,66889-373,55816706562,006,Caixa de som,1,200.0,Cartão de Crédito,L003,Loja Bairro,V005,Barone,23/10/2025,
14,Yasmin Alves,16/11/2002,9930312,90153768240,"Largo Otávio Marques, 75",56,,Floresta,Melo,AC,53100330,09002327193,003,Tablet,1,1800.0,Cartão de Débito,L001,Loja Centro,V002,Fernanda,23/10/2025,
15,Léo Cavalcante,02/12/1986,1921542,24180937514,Vila de Pires,51,,Renascença,Vieira,RJ,58651850,8471657262,003,Tablet,4,1800.0,Pix,L001,Loja Centro,V002,Fernanda,23/10/2025,
16,Júlia Pimenta,23/08/1997,9029043,79685421030,"Ladeira Machado, 77",80,,Renascença,Cirino do Amparo,DF,45494-808,55071136783,003,Tablet,2,1800.0,Pix,L003,Loja Bairro,V005,Barone,23/10/2025,
17,Caleb da Rocha,21/07/1966,4081983,45796238191,"Quadra de da Mata, 44",4,,Lagoa,Souza,PI,33749894,55413435240,005,Teclado,2,150.0,Boleto,L003,Loja Bairro,V005,Barone,23/10/2025,
18,Benjamim Novaes,17/04/1970,2118618,71042368562,"Jardim Mendes, 2",27,,Teixeira Dias,Cassiano,BA,13186-999,55218677496,002,Smartphone,4,2200.0,Dinheiro,L002,Loja Shopping,V007,Mackenzie,23/10/2025,
