id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,numero,complemento,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor,data_venda,data_compra,status_venda,observacoes,erros
1,Alicia Siqueira,28/05/2000,6672276,04816275371,"Alameda Cardoso, 49",3,,Novo Sao Lucas,Sao Paulo,SP,87430573,55517578169,P003,Tablet,1,1800.0,Boleto,L001,Loja Centro,V002,Maria Oliveira,21/04/2024,21/04/2024,CONCLUIDA,,
2,Noah Araujo,24/06/1960,1593805,41025986776,Jardim Moura,6,,Atila De Paiva,Sao Paulo,SP,27833770,3101068888,P005,Teclado,2,150.0,Boleto,L001,Loja Centro,V001,Carlos Silva,03/02/2025,03/02/2025,CONCLUIDA,,
3,Ana Vitoria Castro,09/01/1976,4325663,86105793286,"Residencial da Rocha, 3",79,,Vila Jardim Sao Jose,Sao Paulo,SP,21526918,55051149959,P007,Mouse,3,80.0,Pix,L002,Loja Shopping,V007,Mackenzie Nogueira,25/11/2023,25/11/2023,CONCLUIDA,,
4,Diego Freitas,30/04/1956,2394660,31948527600,Colonia Cirino,73,,Santa Amelia,Sao Paulo,SP,97840436,5102923227,P007,Mouse,5,80.0,Cartao Credito,L002,Loja Shopping,V004,Antonio Santos,17/08/2025,17/08/2025,CONCLUIDA,,
5,Maria Fernanda Viana,20/04/1966,9421566,63248105933,Sitio Valentina Novaes,34,,Rio Branco,Sao Paulo,SP,49187622,55061146786,P002,Smartphone,5,2500.0,Dinheiro,L001,Loja Centro,V001,Carlos Silva,04/01/2025,04/01/2025,CONCLUIDA,,
6,Levi da Luz,25/04/1971,6423236,52703681453,"Morro Elisa Sa, 1",95,,Vila Ouro Minas,Sao Paulo,SP,8228795,55031031296,P004,Monitor,4,950.0,Cartao Debito,L002,Loja Shopping,V004,Antonio Santos,28/09/2024,28/09/2024,CONCLUIDA,,
7,Joao Pedro Sa,31/12/2001,5981248,04257819685,"Fazenda Isis Moraes, 55",863,,Custodinha,Sao Paulo,SP,76077480,55114869837,P001,Notebook,4,3500.0,Pix,L003,Loja Bairro,V005,Barone Mendes,19/04/2025,19/04/2025,CONCLUIDA,,
8,Levi Campos,09/02/1986,9184955,23786950121,"Colonia da Luz, 12",82,,Venda Nova,Sao Paulo,SP,54915111,55061717049,P005,Teclado,2,150.0,Cartao Debito,L003,Loja Bairro,V006,Thiago Costa,02/03/2025,02/03/2025,CONCLUIDA,,
9,Emilly Rios,21/06/1974,2597200,31706892403,"Nucleo Carvalho, 36",9,,Solar Do Barreiro,Sao Paulo,SP,48820054,55071713754,P001,Notebook,3,3500.0,Dinheiro,L001,Loja Centro,V001,Carlos Silva,25/07/2024,25/07/2024,CONCLUIDA,,
10,Gabrielly Azevedo,07/11/2006,9428350,85390672429,"Viela Nogueira, 79",11,,Anchieta,Sao Paulo,SP,30296892,4120476195,P002,Smartphone,1,2500.0,Cartao Credito,L002,Loja Shopping,V007,Mackenzie Nogueira,06/10/2025,06/10/2025,CONCLUIDA,,
11,Agatha Santos,07/07/1980,9742325,81607243903,"Alameda Enzo da Mota, 948",34,,Bonsucesso,Sao Paulo,SP,76081400,55061577515,P001,Notebook,3,3500.0,Cartao Debito,L003,Loja Bairro,V006,Thiago Costa,16/01/2025,16/01/2025,CONCLUIDA,,
